"Algorithm","n","k","Average Swaps","Average Compares","c/n","s/n"
"Quick Sort","300","100","2859.80999999999994543031789362430572509765625","1702.970000000000027284841053187847137451171875","9.5327","5.676566666666667"
"Quick Sort","400","1","3421","2201","8.5525","5.5025"
"Quick Sort","400","10","3994.59999999999990905052982270717620849609375","2311.09999999999990905052982270717620849609375","9.9865","5.77775"
"Quick Sort","400","100","4089.40999999999985448084771633148193359375","2430.9499999999998181010596454143524169921875","10.223525","6.077375"
"Quick Sort","500","1","4296","2433","8.592","4.866"
"Quick Sort","500","10","5235.899999999999636202119290828704833984375","2925.90000000000009094947017729282379150390625","10.4718","5.8518"
"Quick Sort","500","100","5320.5699999999997089616954326629638671875","3145.17999999999983629095368087291717529296875","10.64114","6.29036"
"Quick Sort","600","1","6522","3534","10.87","5.89"
"Quick Sort","600","10","6671.5","3755.59999999999990905052982270717620849609375","11.119166666666667","6.259333333333333"
"Quick Sort","600","100","6680.850000000000363797880709171295166015625","3824.84000000000014551915228366851806640625","11.13475","6.374733333333333"
"Quick Sort","700","1","7385","4737","10.55","6.767142857142857"
"Quick Sort","700","10","7987.6999999999998181010596454143524169921875","4801.600000000000363797880709171295166015625","11.411","6.859428571428572"
"Quick Sort","700","100","8026.8800000000001091393642127513885498046875","4706.1400000000003274180926382541656494140625","11.466971428571428","6.723057142857144"
"Quick Sort","800","1","8287","4949","10.35875","6.18625"
"Quick Sort","800","10","9673","5338.1999999999998181010596454143524169921875","12.09125","6.67275"
"Quick Sort","800","100","9386.149999999999636202119290828704833984375","5398.3699999999998908606357872486114501953125","11.732687499999999","6.7479625"
"Quick Sort","900","1","9440","5482","10.488888888888889","6.091111111111111"
"Quick Sort","900","10","10534.20000000000072759576141834259033203125","6113.3000000000001818989403545856475830078125","11.704666666666668","6.7925555555555555"
"Quick Sort","900","100","10746.469999999999345163814723491668701171875","6220.420000000000072759576141834259033203125","11.94052222222222","6.911577777777778"
"Quick Sort","1000","1","10601","5751","10.601","5.751"
"Quick Sort","1000","10","12136.600000000000363797880709171295166015625","6503.6999999999998181010596454143524169921875","12.1366","6.5037"
"Quick Sort","1000","100","12260.65999999999985448084771633148193359375","6976.3100000000004001776687800884246826171875","12.26066","6.976310000000001"
"Dual Pivot Quick Sort","100","1","1234","303","12.34","3.03"
"Dual Pivot Quick Sort","100","10","1366.5","318.80000000000001136868377216160297393798828125","13.665","3.188"
"Dual Pivot Quick Sort","100","100","1367.829999999999927240423858165740966796875","316.48000000000001818989403545856475830078125","13.6783","3.1648"
"Dual Pivot Quick Sort","200","1","3178","685","15.89","3.425"
"Dual Pivot Quick Sort","200","10","3252.09999999999990905052982270717620849609375","728.3999999999999772626324556767940521240234375","16.2605","3.642"
"Dual Pivot Quick Sort","200","100","3355.46999999999979991116560995578765869140625","726.759999999999990905052982270717620849609375","16.77735","3.6338"
"Dual Pivot Quick Sort","300","1","4996","1200","16.653333333333332","4.0"
"Dual Pivot Quick Sort","300","10","5416.899999999999636202119290828704833984375","1114.59999999999990905052982270717620849609375","18.05633333333333","3.715333333333333"
"Dual Pivot Quick Sort","300","100","5425.4499999999998181010596454143524169921875","1147.2100000000000363797880709171295166015625","18.084833333333332","3.8240333333333334"
"Dual Pivot Quick Sort","400","1","7210","1724","18.025","4.31"
"Dual Pivot Quick Sort","400","10","7713.3000000000001818989403545856475830078125","1672.09999999999990905052982270717620849609375","19.28325","4.18025"
"Dual Pivot Quick Sort","400","100","7704.8199999999997089616954326629638671875","1612.529999999999972715158946812152862548828125","19.26205","4.031325"
"Dual Pivot Quick Sort","500","1","8348","1764","16.696","3.528"
